"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1916","SLB","79","75","13","299","158","1443.2","3.15","2.98","0.09",".271","70.7%","","","","2.58","","2.82","","11.6","94","103"
"1901","PIT","90","49","4","161","140","1244.2","3.65","1.76","0.14",".282","65.7%","","","","2.58","","2.91","","15.8","78","92"
"1912","NYG","103","48","15","230","154","1369.2","4.28","2.22","0.24",".291","68.7%","","","","2.58","","2.98","","19.5","78","88"
"1873","BSN","43","16","3","72","60","536.0","0.52","0.59","0.08",".322","38.5%","","","","2.59","","3.13","","6.2","78","95"
"1909","BOS","88","63","15","247","152","1360.1","3.67","2.54","0.12",".267","67.7%","","","","2.59","","2.42","","11.1","104","104"
"1915","PIT","73","81","11","247","158","1380.0","3.55","2.50","0.14",".265","69.7%","","","","2.60","","2.65","","13.3","97","100"
"1878","MIL","15","45","0","68","61","547.0","2.42","0.90","0.05",".296","40.3%","","","","2.60","","2.37","","7.2","105","96"
"1906","PHA","78","67","4","200","149","1322.0","5.10","2.89","0.06",".274","67.4%","","","","2.60","","2.29","","17.0","95","92"
"1916","NYG","86","66","12","258","155","1397.1","4.11","2.00","0.26",".265","71.4%","","","","2.60","","2.53","","12.1","105","101"
"1915","NWK","80","72","7","231","155","1406.2","3.72","2.90","0.10",".276","69.8%","","","","2.60","","2.69","","13.9","89","99"
"1907","SLB","69","83","9","183","155","1381.1","3.02","2.29","0.11",".265","67.2%","","","","2.61","","2.43","","8.6","106","110"
"1888","BSN","70","64","0","140","137","1225.1","3.55","1.98","0.26",".264","59.0%","","","","2.61","","2.91","","14.7","87","95"
"1902","BSN","73","63","4","159","141","1259.2","3.74","2.66","0.11",".287","69.8%","","","","2.61","","2.89","","13.2","91","99"
"1910","NYH","88","63","8","213","156","1399.0","4.21","2.34","0.10",".271","67.4%","","","","2.61","","2.32","","19.7","99","90"
"1917","CHC","74","80","9","278","157","1404.0","4.19","2.40","0.22",".274","68.7%","","","","2.62","","2.51","","16.6","94","94"
"1873","NYM","29","24","0","58","53","477.0","1.43","1.30","0.09",".296","37.1%","","","","2.62","","3.18","","4.0","83","101"
"1920","BRO","93","61","10","248","155","1427.1","3.49","2.06","0.16",".276","70.8%","","","","2.62","","2.94","","20.3","83","89"
"1966","LAD","95","67","35","376","162","1458.0","6.69","2.20","0.52",".274","76.0%","","","","2.62","","2.60","","25.5","80","83"
"1918","CLE","73","54","13","196","129","1161.0","2.82","2.66","0.07",".275","70.5%","","","","2.64","","2.63","","16.5","91","89"
"1904","STL","74","79","2","162","154","1368.0","3.48","2.10","0.15",".275","65.1%","","","","2.64","","2.56","","15.6","98","95"
"1908","STL","49","105","4","226","154","1368.0","3.47","2.83","0.11",".265","64.1%","","","","2.64","","2.42","","11.6","114","103"
"1918","NYG","71","53","10","195","124","1111.2","2.67","1.85","0.16",".252","68.4%","","","","2.64","","2.55","","10.9","99","98"
"1915","CWH","86","66","10","223","155","1397.2","3.71","2.59","0.21",".263","69.7%","","","","2.64","","2.75","","11.9","93","102"
"1909","NYH","74","77","7","217","153","1350.1","3.98","2.81","0.14",".272","66.6%","","","","2.65","","2.47","","12.8","101","103"
"1881","DET","41","43","0","85","84","744.2","3.20","1.66","0.10",".297","54.1%","","","","2.65","","2.67","","7.6","97","97"
"1879","CLE","27","55","0","85","82","741.0","3.49","1.41","0.05",".311","50.9%","","","","2.65","","2.50","","6.4","110","104"
"1916","CHC","67","86","13","275","156","1416.2","3.91","2.32","0.20",".260","69.5%","","","","2.65","","2.60","","15.8","99","96"
"1968","CLE","86","75","32","384","162","1464.1","7.11","3.32","0.60",".240","76.2%","","","","2.66","","2.89","","21.0","88","90"
"1915","BRO","80","72","8","245","154","1389.2","3.23","3.06","0.19",".263","70.3%","","","","2.66","","2.98","","9.4","95","110"
"1917","NYY","71","82","6","248","155","1411.1","3.64","2.72","0.18",".278","69.6%","","","","2.66","","2.69","","15.7","99","96"
"1968","BAL","91","71","31","396","162","1451.1","6.47","3.11","0.63",".242","76.6%","","","","2.66","","2.98","","16.2","91","96"
"1877","STL","28","32","0","68","60","541.0","2.20","1.53","0.03",".294","53.0%","","","","2.66","","2.91","","2.6","103","113"
"1981","HOU","61","49","25","274","110","990.0","5.55","2.73","0.36",".261","74.9%","","","","2.66","","2.84","","15.6","82","88"
"1916","WAS","76","77","7","266","159","1430.2","4.44","3.08","0.09",".278","70.6%","","","","2.67","","2.56","","18.1","96","92"
"1888","PIT","66","67","0","141","138","1203.1","2.74","1.67","0.17",".278","61.2%","","","","2.67","","2.85","","6.6","103","105"
"1884","STL","67","40","0","121","110","987.0","4.35","1.57","0.15",".273","51.8%","","","","2.67","","3.04","","11.1","81","97"
"1902","CIN","70","70","1","154","141","1239.0","3.12","2.56","0.11",".284","66.2%","","","","2.67","","2.98","","14.6","88","98"
"1944","STL","105","49","12","270","157","1427.0","4.02","2.95","0.35",".252","74.8%","","","","2.67","","3.18","","22.5","74","87"
